,date,Afghanistan_nan,Albania_nan,Algeria_nan,Andorra_nan,Argentina_nan,Armenia_nan,Australia_From Diamond Princess,Australia_New South Wales,Australia_Northern Territory,Australia_Queensland,Australia_South Australia,Australia_Tasmania,Australia_Victoria,Australia_Western Australia,Austria_nan,Azerbaijan_nan,Bahrain_nan,Bangladesh_nan,Belarus_nan,Belgium_nan,Bhutan_nan,Bolivia_nan,Bosnia and Herzegovina_nan,Brazil_nan,Brunei_nan,Bulgaria_nan,Burkina Faso_nan,Cambodia_nan,Cameroon_nan,Canada_Alberta,Canada_British Columbia,Canada_New Brunswick,Canada_Ontario,Canada_Quebec,Chile_nan,China_Anhui,China_Beijing,China_Chongqing,China_Fujian,China_Gansu,China_Guangdong,China_Guangxi,China_Guizhou,China_Hainan,China_Hebei,China_Heilongjiang,China_Henan,China_Hong Kong,China_Hubei,China_Hunan,China_Inner Mongolia,China_Jiangsu,China_Jiangxi,China_Jilin,China_Liaoning,China_Macau,China_Ningxia,China_Qinghai,China_Shaanxi,China_Shandong,China_Shanghai,China_Shanxi,China_Sichuan,China_Tianjin,China_Tibet,China_Xinjiang,China_Yunnan,China_Zhejiang,Colombia_nan,Congo (Kinshasa)_nan,Costa Rica_nan,Cote d'Ivoire_nan,Croatia_nan,Cruise Ship_Diamond Princess,Cuba_nan,Cyprus_nan,Czechia_nan,Denmark_Denmark,Denmark_Faroe Islands,Dominican Republic_nan,Ecuador_nan,Egypt_nan,Estonia_nan,Finland_nan,France_France,France_Saint Barthelemy,France_St Martin,French Guiana_nan,Georgia_nan,Germany_nan,Greece_nan,Guyana_nan,Holy See_nan,Honduras_nan,Hungary_nan,Iceland_nan,India_nan,Indonesia_nan,Iran_nan,Iraq_nan,Ireland_nan,Israel_nan,Italy_nan,Jamaica_nan,Japan_nan,Jordan_nan,"Korea, South_nan",Kuwait_nan,Latvia_nan,Lebanon_nan,Liechtenstein_nan,Lithuania_nan,Luxembourg_nan,Malaysia_nan,Maldives_nan,Malta_nan,Martinique_nan,Mexico_nan,Moldova_nan,Monaco_nan,Mongolia_nan,Morocco_nan,Nepal_nan,Netherlands_nan,New Zealand_nan,Nigeria_nan,North Macedonia_nan,Norway_nan,Oman_nan,Pakistan_nan,Panama_nan,Paraguay_nan,Peru_nan,Philippines_nan,Poland_nan,Portugal_nan,Qatar_nan,Reunion_nan,Romania_nan,Russia_nan,San Marino_nan,Saudi Arabia_nan,Senegal_nan,Serbia_nan,Singapore_nan,Slovakia_nan,Slovenia_nan,South Africa_nan,Spain_nan,Sri Lanka_nan,Sweden_nan,Switzerland_nan,Taiwan*_nan,Thailand_nan,Togo_nan,Tunisia_nan,Turkey_nan,Ukraine_nan,United Arab Emirates_nan,United Kingdom_Channel Islands,United Kingdom_Gibraltar,United Kingdom_UK,"Unites States_Adams, IN","Unites States_Alachua, FL","Unites States_Alameda County, CA",Unites States_Alaska,"Unites States_Anoka, MN","Unites States_Arapahoe, CO",Unites States_Arizona,Unites States_Arkansas,"Unites States_Arlington, VA","Unites States_Beadle, SD","Unites States_Bennington County, VT","Unites States_Bergen County, NJ","Unites States_Berkshire County, MA","Unites States_Bernalillo, NM","Unites States_Bon Homme, SD","Unites States_Boone, IN","Unites States_Broward County, FL","Unites States_Bucks, PA","Unites States_Burlington, NJ","Unites States_Calaveras, CA",Unites States_California,"Unites States_Camden, NC","Unites States_Camden, NJ","Unites States_Carver County, MN","Unites States_Charles Mix, SD","Unites States_Charleston County, SC","Unites States_Charlotte County, FL","Unites States_Charlton, GA","Unites States_Chatham County, NC","Unites States_Cherokee County, GA","Unites States_Clark County, NV","Unites States_Clark County, WA","Unites States_Cobb County, GA","Unites States_Collier, FL","Unites States_Collin County, TX",Unites States_Colorado,Unites States_Connecticut,"Unites States_Contra Costa County, CA","Unites States_Cook County, IL","Unites States_Cuyahoga, OH","Unites States_Dallas, TX","Unites States_Dane, WI","Unites States_Davidson County, TN","Unites States_Davis County, UT","Unites States_Davison, SD","Unites States_DeKalb, GA",Unites States_Delaware,"Unites States_Delaware County, PA","Unites States_Denver County, CO","Unites States_Deschutes, OR",Unites States_Diamond Princess,Unites States_District of Columbia,"Unites States_Douglas County, CO","Unites States_Douglas County, NE","Unites States_Douglas County, OR","Unites States_Eagle, CO","Unites States_El Paso County, CO","Unites States_Essex, MA","Unites States_Fairfax County, VA","Unites States_Fairfield, CT","Unites States_Fayette County, KY","Unites States_Fayette, GA",Unites States_Florida,"Unites States_Floyd, GA","Unites States_Fort Bend County, TX","Unites States_Fresno County, CA","Unites States_Fulton County, GA",Unites States_Georgia,"Unites States_Grafton County, NH",Unites States_Grand Princess,"Unites States_Grant County, WA","Unites States_Gregg, TX","Unites States_Gunnison, CO","Unites States_Gwinnett, GA","Unites States_Hanover, VA","Unites States_Harford County, MD","Unites States_Harris County, TX","Unites States_Harrison County, KY",Unites States_Hawaii,"Unites States_Hendricks County, IN","Unites States_Hillsborough, FL","Unites States_Honolulu County, HI","Unites States_Howard, IN","Unites States_Hudson County, NJ","Unites States_Humboldt County, CA",Unites States_Idaho,Unites States_Illinois,Unites States_Indiana,Unites States_Iowa,"Unites States_Island, WA","Unites States_Jackson County, OR ","Unites States_Jefferson County, KY","Unites States_Jefferson County, WA","Unites States_Jefferson Parish, LA","Unites States_Jefferson, CO","Unites States_Johnson County, IA","Unites States_Johnson County, KS","Unites States_Johnson, IN","Unites States_Kane, IL",Unites States_Kansas,Unites States_Kentucky,"Unites States_Kershaw County, SC","Unites States_King County, WA","Unites States_Kitsap, WA","Unites States_Kittitas County, WA","Unites States_Klamath County, OR","Unites States_Knox, NE","Unites States_Lake, IL","Unites States_Lancaster, SC","Unites States_Larimer, CO","Unites States_Lee County, FL","Unites States_Litchfield, CT","Unites States_Los Angeles, CA","Unites States_Loudoun, VA",Unites States_Louisiana,"Unites States_Madera County, CA",Unites States_Maine,"Unites States_Manatee County, FL","Unites States_Maricopa County, AZ","Unites States_Marin, CA","Unites States_Marion County, IN","Unites States_Marion County, OR",Unites States_Maryland,Unites States_Massachusetts,"Unites States_McHenry, IL",Unites States_Michigan,"Unites States_Middlesex County, MA","Unites States_Middlesex, NJ","Unites States_Minnehaha, SD",Unites States_Minnesota,Unites States_Mississippi,Unites States_Missouri,"Unites States_Monmouth, NJ","Unites States_Monroe, PA",Unites States_Montana,"Unites States_Montgomery County, MD","Unites States_Montgomery County, PA","Unites States_Montgomery, TX","Unites States_Multnomah, OR","Unites States_Napa, CA","Unites States_Nassau County, NY","Unites States_Nassau, FL",Unites States_Nebraska,Unites States_Nevada,"Unites States_New Castle, DE",Unites States_New Hampshire,Unites States_New Jersey,Unites States_New Mexico,Unites States_New York,"Unites States_New York County, NY","Unites States_Noble, IN","Unites States_Norfolk County, MA","Unites States_Norfolk, VA",Unites States_North Carolina,Unites States_North Dakota,"Unites States_Oakland, MI",Unites States_Ohio,"Unites States_Okaloosa County, FL",Unites States_Oklahoma,"Unites States_Olmsted, MN","Unites States_Orange County, CA",Unites States_Oregon,"Unites States_Orleans, LA","Unites States_Pasco, FL","Unites States_Passaic, NJ","Unites States_Pennington, SD",Unites States_Pennsylvania,"Unites States_Philadelphia, PA","Unites States_Pierce County, WA","Unites States_Pierce, WI","Unites States_Pima, AZ","Unites States_Pinal County, AZ","Unites States_Pinellas, FL","Unites States_Placer County, CA","Unites States_Polk County, GA","Unites States_Polk, OR","Unites States_Pottawattamie, IA","Unites States_Prince George's, MD","Unites States_Providence County, RI","Unites States_Ramsey County, MN",Unites States_Rhode Island,"Unites States_Riverside County, CA","Unites States_Rockingham County, NH","Unites States_Rockland County, NY","Unites States_Sacramento County, CA","Unites States_San Benito, CA","Unites States_San Diego County, CA","Unites States_San Francisco County, CA","Unites States_San Joaquin, CA","Unites States_San Mateo, CA","Unites States_Santa Clara County, CA","Unites States_Santa Cruz, CA","Unites States_Santa Rosa County, FL","Unites States_Saratoga County, NY","Unites States_Shasta County, CA","Unites States_Shelby County, TN","Unites States_Skagit, WA","Unites States_Snohomish County, WA","Unites States_Socorro, NM","Unites States_Solano, CA","Unites States_Sonoma County, CA",Unites States_South Carolina,Unites States_South Dakota,"Unites States_Spartanburg County, SC","Unites States_Spotsylvania, VA","Unites States_St. Joseph, IN","Unites States_St. Louis County, MO","Unites States_Stanislaus, CA","Unites States_Stark, OH","Unites States_Suffolk County, MA","Unites States_Suffolk County, NY","Unites States_Sullivan, TN","Unites States_Summit County, CO","Unites States_Summit, UT","Unites States_Tarrant, TX",Unites States_Tennessee,Unites States_Texas,"Unites States_Thurston, WA","Unites States_Tulsa County, OK","Unites States_Ulster County, NY","Unites States_Umatilla, OR","Unites States_Union, NJ",Unites States_Utah,"Unites States_Ventura, CA",Unites States_Vermont,Unites States_Virginia,"Unites States_Volusia County, FL","Unites States_Wake County, NC",Unites States_Washington,"Unites States_Washington County, OR","Unites States_Washington, D.C.","Unites States_Washoe County, NV","Unites States_Wayne County, PA","Unites States_Wayne, MI","Unites States_Weber, UT",Unites States_West Virginia,"Unites States_Westchester County, NY","Unites States_Whatcom, WA","Unites States_Williamson County, TN",Unites States_Wisconsin,"Unites States_Worcester, MA",Unites States_Wyoming,"Unites States_Yolo County, CA",Vietnam_nan
0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,6,1,0,26,2,1,4,1,0,5,0,444,4,0,1,2,0,2,1,1,0,0,2,9,1,5,4,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,9,5,2,32,5,3,5,1,2,5,2,444,9,0,5,7,1,3,2,1,0,3,6,16,1,8,4,0,2,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36,27,10,2,53,23,3,8,2,4,9,2,549,24,1,9,18,3,4,2,2,0,5,15,20,1,15,8,0,2,5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,41,57,18,4,78,23,4,19,8,9,32,5,761,43,7,18,18,4,17,2,3,1,15,27,33,6,28,10,0,3,11,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,2020-01-26,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,68,75,35,7,111,36,5,22,13,15,83,8,1058,69,7,33,36,4,21,5,4,1,22,46,40,9,44,14,0,4,16,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
